# Sonnet4.6			
model: sonnet46
職業名：事務・アシスタント職（営業アシスタント・秘書・総務）			

##タスク番号1：記事の要約（情報収集・インプット整理）			
社内外のニュース・業界情報・会議資料・議事録・社内通達などを読み込み、「結論→背景→必要なアクション」の構造で関係者がすぐ動ける形にまとめる作業。			
人間所要時間：2時間（範囲：1〜3時間） 人間理由：他職種と比べて読み込む資料の専門性・ページ数が低め。会議議事録や社内通達の要約が中心で、高度な「示唆の導出」よりも「決定事項・アクションの正確な抽出」が求められる。ただし複数の会議や通達を並行処理するケースも多く、件数が多い日は合計工数がかさむ。			
AI所要時間：10分（範囲：5〜20分） AI理由：議事録・通達・報告書の要約と「決定事項・依頼事項・期限」の構造化抽出は、AIが最も得意とする定型処理。入力テキストさえあれば数秒で高精度な要約が得られる。人間は最終確認と配布先の判断のみ担えばよい。削減率：約92%			
##タスク番号2：指示書の作成（業務推進のための設計・指示）			
作業指示書・社内手続き手順書・会議アジェンダ・WBS・RACI・依頼メール・社内周知文など、日常業務を回すための文書を作成する作業。			
人間所要時間：4時間（範囲：2.5〜6時間） 人間理由：個々の文書はシンプルだが、種類が非常に多く件数ベースでは最も頻繁に発生する。会議アジェンダ・依頼メール・周知文などは毎日複数件こなす性質のため、積み上げると相応の工数になる。WBSやRACIは他職種ほど複雑ではなく、比較的シンプルな内容が多い。			
AI所要時間：40分（範囲：20分〜1時間） AI理由：会議アジェンダ・依頼メール・周知文・手順書はすべてAIが得意とする定型文書生成の領域。「目的・手順・期限・担当者」を箇条書きで入力するだけで高品質なドラフトが即座に生成できる。社内独自のルールや表現への微調整のみ人間が担えばよい。削減率：約83%			

##タスク番号3：プレゼン資料作成（社内説明・報告）			
社内会議・報告向けに、業務データのグラフ化・改善案の整理・Q&A作成を含む資料を作成する作業。			
人間所要時間：5時間（範囲：3〜7時間） 人間理由：経営層向けコンサル資料ほどの論理的厳密さは求められないが、上司や関係部署の好みへの細かい調整や、業務データの収集・集計に時間がかかるケースが多い。スライド枚数は5〜15枚程度とコンパクトだが、社内文化への配慮が意外と工数を要する。			
AI所要時間：1時間（範囲：30分〜1.5時間） AI理由：ストーリーライン・スライド文言・Q&Aドラフトの生成はAIで高速対応可能。業務データのグラフ化もデータさえあればAIが提案できる。社内文化や上司の好みへの最終調整と、データ収集・集計は人間作業として残る。削減率：約80%			
【サマリー】			
タスク	人間（中央値）	AI導入後（中央値）	削減率
①記事要約	2時間（1〜3h）	10分（5〜20min）	約92%
②指示書作成	4時間（2.5〜6h）	40分（20min〜1h）	約83%
③プレゼン資料	5時間（3〜7h）	1時間（30min〜1.5h）	約80%
合計	11時間	1.8時間	約84%

---
			
# Sonnet4.6 拡張思考			
model: sonnet46T
職業名：事務・アシスタント職 ※対象例：営業アシスタント、秘書、総務・管理部門			
##タスク番号1: 記事の要約（情報収集・インプット整理）			
人間所要時間：2.5時間（目安範囲：2〜3時間） 社内外のニュース・業界情報・社内通達・会議資料・議事録など、資料の種類は多岐にわたるが、1件あたりの分量は比較的短く、100〜300ページの重厚な調査資料を読み込むケースは少ない。「結論→背景→必要なアクション」への整理が目的で、経営判断への接続よりも「関係者がすぐ動ける形にまとめる」ことが主眼。ただし社内ルール・手続き変更など正確性が求められる情報の確認に時間がかかる。			
AI所要時間：10分（目安範囲：5〜15分） 議事録・社内通達・報告書をインプットすれば、決定事項・依頼事項・期限の抽出と要点サマリーを数分で生成できる。資料の専門性が高くなく、アウトプットの形式も定型的なため、AI生成物をそのまま活用できる割合が他職種より高い。最終的な宛先・表現の確認のみ人間が担う形での見積もり。			

##タスク番号2: 指示書の作成（作業指示書・手順書・周知文・WBS等）			
人間所要時間：6時間（目安範囲：4〜8時間） 作業指示書・社内手続きの手順書・会議アジェンダ・周知文・WBS・RACIなど成果物の種類は多いが、1件あたりの複雑度はコンサルタントやPMと比べて低い。一方で「誰が読んでもわかる平易な表現」への要求が高く、図や箇条書きを使った可視化に手間がかかる。上司や関係部署の確認・承認を経るサイクルが多く、修正往復が工数を押し上げやすい。			
AI所要時間：0.75時間（目安範囲：0.5〜1時間） 依頼内容・手続きの流れ・関係者情報をインプットすれば、手順書・指示書・周知文の骨格を素早く生成できる。成果物が平易な日本語ベースで完結するものが多く、専門用語や技術仕様の精査が不要なため、AI生成からそのまま使える割合が高い。アジェンダや周知文など定型度の高い文書は特にAIとの相性が良く、最終的な宛先・表現の微調整のみ人間が担う形での見積もり。			

##タスク番号3: プレゼン資料作成（社内説明・報告）			
人間所要時間：8時間（目安範囲：6〜10時間） 社内会議・報告向けの資料が中心で、「背景→現状→課題→対応策→次ステップ」の構成が定型化されている。経営層向けの戦略提案資料と異なり、業務データ（件数・進捗・コスト）のグラフ化と業務改善案の整理が主な作業。意思決定者が上司や関係部署に限られるため資料の重厚さは低いが、上司の好みや社内文化への細かい調整が発生しやすく、確認・修正サイクルが工数を左右する。			
AI所要時間：1.5時間（目安範囲：1〜2時間） 業務データ・課題・改善案をインプットすれば、ストーリーライン・スライド構成・Q&A草案を短時間で生成できる。社内報告資料は構成がシンプルで意思決定者も少ないため、レビューサイクルが短く修正コストが低い。グラフの実作成と上司の好みへのトーン調整のみ人間が担う形での見積もり。			
【まとめ】時間削減効果の概算			
タスク	人間（中央値）	AI活用後（中央値）	削減率
記事の要約	2.5時間	0.17時間	約93%
指示書の作成	6時間	0.75時間	約88%
プレゼン資料作成	8時間	1.5時間	約81%
合計	16.5時間	2.42時間	約85%

---			
# Opus4.6			
model: opus46
職業名：事務・アシスタント職（営業アシスタント・秘書・総務管理部門）			

##タスク番号1: 記事の要約（情報収集・インプット整理） 社内外のニュース・業界情報・社内通達の読み込みと関係部署向けの要約、会議資料・議事録から決定事項・依頼事項・期限の整理、社内ルール変更の要点まとめ、長文報告書やプロジェクト資料の要点資料化。情報を「結論→背景→必要なアクション」の構造に整理する。			
人間所要時間：2時間（範囲：1.5〜3時間） 人間理由：コンサルや企画職と比べ、扱う情報の範囲は社内寄りで限定的。ただし議事録からのアクションアイテム抽出や、社内ルール変更の正確な要約は注意深さが求められる。社内通達・ニュースの読み込みに30分〜1時間、議事録・報告書の要点整理に30分〜1時間、体裁調整・共有文作成に30分。			
AI所要時間：25分（範囲：15分〜40分） AI理由：議事録の要約・アクションアイテム抽出はAIの最も得意な領域の一つ。社内通達や報告書の要点整理も高速。社内固有の略語や文脈の確認に人間レビューが1回程度必要だが、情報のスコープが絞られている分、修正も軽い。			
##タスク番号2: 指示書の作成（業務推進のための設計・指示） 作業指示書（目的・手順・期限）の作成、社内手続きの手順書・フロー図作成、会議アジェンダ・進行表の作成、WBS・RACI・依頼メール・周知文の作成。			
人間所要時間：3.5時間（範囲：2.5〜5時間） 人間理由：戦略的な設計は不要だが、正確さ・抜け漏れのなさが重視される。作業指示書の整理に30分〜1時間、手順書・フロー図の作成に1〜1.5時間、会議アジェンダ作成に30分、WBS・RACI作成に30分〜1時間、依頼メール・周知文の作成に30分〜1時間。定型業務が多い分、過去のフォーマットを流用できるケースも多い。			
AI所要時間：50分（範囲：30分〜1時間15分） AI理由：作業指示書・手順書・アジェンダ・WBS・RACI・周知文はいずれもAIのテンプレ生成が非常に有効な領域。過去の文書をインプットすればフォーマット踏襲も容易。依頼メールや周知文の文面生成も高速。人間は内容の正確性確認と社内固有のルール・宛先の最終チェックのみ。			

##タスク番号3: プレゼン資料作成（社内説明・報告） ストーリーライン構築（背景→現状→課題→対応策→次ステップ）、結論ファースト・1枚1メッセージのスライド作成、業務データのグラフ化と「So What」明記、業務改善案の実行ステップ・リソース・影響範囲への落とし込み、想定Q&A作成、リハーサル。			
人間所要時間：4時間（範囲：3〜6時間） 人間理由：社内向け資料が中心のため、外部クライアント向けほどのデザイン・表現の作り込みは不要。ただし上司の好みへの配慮や正確なデータ反映が求められる。ストーリーライン設計に30分〜1時間、スライド作成（5〜15枚）に1.5〜3時間、グラフ化・体裁調整に30分〜1時間、Q&A作成に30分、レビュー・修正に30分〜1時間。			
AI所要時間：1時間（範囲：40分〜1.5時間） AI理由：社内報告資料はフォーマットが定型化しやすく、AIの再利用効率が最も高い職種の一つ。スライド構成・グラフ生成・Q&A叩き台の生成は短時間で完了。枚数も少ないため修正サイクルも軽い。上司の好みやデータの正確性確認のみ人間が対応。			

---
			
# Opus4.6 拡張思考			
model: opus46T
職業名：事務・アシスタント職（営業アシスタント・秘書・総務/管理部門）			
##タスク番号1：記事の要約（情報収集・インプット整理）			
社内外のニュース・業界情報・社内通達の要約、会議資料・議事録から決定事項・依頼事項・期限の整理、長文報告書やPJ資料を上司が短時間で理解できる要点資料にまとめる。			
人間所要時間：中央値 2時間（範囲：1〜4時間）			
理由：社内通達・ニュースの読み込みと関連部分の抽出に0.5〜1時間、会議議事録の要点整理（決定事項・依頼事項・期限）に0.5〜1時間、報告書・PJ資料の要点サマリー化に0.5〜1.5時間。コンサルやPMと異なり、自ら分析・示唆を加える必要は少なく、「正確に・漏れなく・簡潔に」まとめることが主眼。扱う資料もテーマが絞られており、ページ数は20〜100ページ程度が多い。			
AI所要時間：中央値 15分（範囲：5分〜30分）			
理由：議事録要約・通達の要点抽出・報告書のサマリー化はAIが最も得意とする定型的な要約タスク。「結論→背景→必要なアクション」の構造化も指示一つで完了する。人間は固有名詞・期限・担当者名の正確性チェックと、社内文脈（暗黙の優先順位等）の補足に5〜15分を充てる程度。事務・アシスタント職の要約タスクは全8職種中でAI代替効果が最も高い領域。			
##タスク番号2：指示書の作成（業務推進のための設計・指示）			
上司・部署からの依頼内容の作業指示書化、社内手続き（申請・承認・備品管理等）の手順書、会議アジェンダ・進行表、WBS・RACI、外部パートナーや社内メンバーへの依頼文書、社内ルール変更の周知文の作成。			
人間所要時間：中央値 3.5時間（範囲：2〜7時間）			
理由：作業指示書（目的・手順・期限の整理）に0.5〜1時間、社内手続きの手順書（フロー図・箇条書き）に0.5〜1.5時間、会議アジェンダ・進行表に0.5〜1時間、WBS・RACIに0.5〜1時間、依頼メール・文書の作成に0.5〜1時間、周知文の作成に0.5〜1時間。個々のドキュメントは比較的軽量だが、種類が多岐にわたる点が特徴。要件定義や戦略レベルの判断は不要だが、「誰にでも伝わる明確さ」と「社内ルールとの整合性」が求められる。			
AI所要時間：中央値 40分（範囲：20分〜1.5時間）			
理由：作業指示書・手順書・アジェンダ・WBS・RACI・周知文のいずれもAIが高品質なテンプレートを即座に生成可能。依頼メールの文面も数秒で複数パターン作成できる。事務・アシスタント職の指示書は、コンサルやPMと異なり仕様レベルの判断や戦略的意思決定を含まないため、AIドラフトの修正量が最も少ない。人間は社内ルール・前例との整合確認、上司の好みに合わせた微調整に15〜45分を充てる。			

##タスク番号3：プレゼン資料作成（社内説明・報告）			
「背景→現状→課題→対応策→次ステップ」のストーリーライン構築、業務データ（件数・進捗・コスト等）のグラフ化、業務改善案の整理、想定Q&A作成、プレゼン練習。			
人間所要時間：中央値 4時間（範囲：2〜8時間）			
理由：ストーリーライン設計に0.5〜1時間、スライド作成（5〜15枚想定）に1.5〜3.5時間、業務データのグラフ化に0.5〜1時間、Q&A作成・上司レビューに0.5〜1.5時間、プレゼン練習に0.5〜1時間。対外プレゼンではなく社内報告が中心のため、デザインの洗練度よりも「正確さ」「わかりやすさ」が優先される。ただしアシスタント職は資料作成の経験値にばらつきがあり、慣れていないと時間がかかりやすい。			
AI所要時間：中央値 1時間（範囲：30分〜2時間）			
理由：社内報告用スライドの構成案・メッセージ案・Q&Aドラフトは数分で生成可能。業務データのグラフ化もAIが対応できる。社内向けのためクライアントのブランドガイドライン対応等は不要で、AIドラフトからの修正工数が少ない。人間はデータの正確性確認、上司の報告スタイルへの合わせ込み、最終チェックに30分〜1.5時間を充てる。			
まとめ			
タスク	人間（中央値）	AI活用時（中央値）	削減率
①要約	2時間	15分	約88%
②指示書作成	3.5時間	40分	約81%
③プレゼン資料	4時間	1時間	約75%
合計	9.5時間	1.9時間	約80%
			
			
定型性が高い：議事録要約、手順書、アジェンダ、周知文など、フォーマットが決まっているものが多い			
判断の抽象度が低い：戦略的意思決定や専門的分析を含まず、「正確に・漏れなく・わかりやすく」が品質基準			
AI出力の修正量が少ない：ドラフトの精度が高く、人間は確認・微調整に徹すればよい			
			
逆に言えば、本職種はAIによる業務代替の影響を最も受けやすい職種であり、AI導入後は「AIを使いこなして業務の幅を広げる」方向への役割転換が重要になります。			
			
---
			
# Haiku			
model: haiku45
職業名：事務・アシスタント職（営業アシスタント、秘書、総務・管理部門）			
##タスク番号1：記事の要約（情報収集・インプット整理）			
人間所要時間：2～3.5時間（中央値：2.75時間）			
人間理由：			
社内外のニュース、業界情報、社内通達など複数の情報源の確認が必要			
会議資料や議事録から重要事項を抽出する作業は比較的ルーチン化している			
情報構造化（結論→背景→必要アクション）は標準的なフレームワークで対応可能			
長文報告書の読み込みには時間を要するが、経営コンサルタントほどの戦略的分析は不要			
上司が短時間で理解できるレベルへの再構成に時間がかかる			
ただし、難度が相対的に低く、スキルに基づく処理時間の差が大きい傾向			
社内知識（ルール、組織構造、前後の文脈）が必要			
AI所要時間：8～12分（中央値：10分）			
AI理由：			
社内外ニュース、会議資料の高速読み込みと要点抽出が得意			
標準的な「結論→背景→アクション」フレームワークへの自動適用が迅速			
複数の情報源から重要事項を自動分類・優先順位付け可能			
テンプレート化されたサマリー作成が可能			
ただし、組織特有のコンテキストや重要度判断に限界がある			
上司の関心事項の予測が限定的			
最終的な精査と社内事情の確認は人間が必要			

##タスク番号2：指示書の作成（業務推進のための設計・指示）			
人間所要時間：4～6時間（中央値：5時間）			
人間理由：			
上司・部署からの依頼内容の整理と明確化に時間を要する			
社内手続きの流れを理解し、図表化する作業に時間がかかる			
会議アジェンダや進行表の作成には、参加者の関心事を踏まえた構成が必要			
WBS、RACI表などの管理文書の作成には、プロジェクト全体の把握が必要			
依頼書やメール文の作成は頻繁に行われるが、各対象者に合わせた文体調整に時間がかかる			
社内ルール変更の周知文作成には、わかりやすさと完全性のバランスが必要			
複数の関係者との確認・調整に時間を要する			
テンプレートが存在する場合でも、個別事情への対応が必要			
AI所要時間：20～30分（中央値：25分）			
AI理由：			
標準的な手順書、WBS、RACIテンプレートの迅速な生成が可能			
会議アジェンダや依頼書のドラフトテキストの高速作成が得意			
「目的→手順→期限」の標準フレームワークへの自動適用が可能			
複数の対象者向けのメール文案の迅速な作成が可能			
ただし、組織特有の手続きや文化への理解が限定的			
社内ルール変更の背景や影響範囲の判断には、人間の知識が必要			
依頼書の対象者・重要度に基づいた最適化には人間の判断が必須			
最終的な確認と社内関係者の承認は人間が主導する必要がある			

##タスク番号3：プレゼン資料作成（社内説明・報告）			
人間所要時間：3.5～5.5時間（中央値：4.5時間）			
人間理由：			
会議の目的・背景・現状・課題を整理し、ストーリーラインを構築する必要がある			
上司や関係部署向けに、わかりやすいメッセージを構築する必要がある			
業務データ（件数、進捗、コスト）のグラフ化と解釈に時間がかかる			
業務改善案の具体化（実行ステップ、必要リソース、影響範囲）に時間を要する			
社内文化や上司の好みに合わせた表現調整に時間がかかる			
ただし、社内報告という相対的にシンプルなシーンが多い			
想定質問と回答案作成には、上司の関心事の予測が必要			
プレゼン練習に時間を費やす			
AI所要時間：16～24分（中央値：20分）			
AI理由：			
ストーリーライン案の高速生成が可能（背景→現状→課題→対応策→次ステップ）			
スライド構成案とテキスト原案の迅速な作成が得意			
業務データの視覚化指示（グラフ種別、レイアウト）が効率的			
標準的なQ&A例の自動生成が可能			
ただし、組織特有の文化や上司の好みの理解が限定的			
業務改善案の実現可能性判断には、社内実情の理解が必要			
最終的なトーン調整は人間によるレビューが不可欠			
実際の報告での対話と即時フィードバック対応は人間が主導			
まとめ			
タスク	人間所要時間	AI所要時間	短縮率
1. 記事の要約	2.75時間	10分	94%
