# Sonnet4.6			
model: sonnet46
職業名：プロジェクトマネージャー（PM）			

##タスク番号1：記事の要約（情報収集・インプット整理）			
技術動向・ベンダー資料・仕様書・要件書など、プロジェクトに関連する長文資料を読み込み、「結論→根拠→プロジェクトへの示唆」の構造でメンバーが即理解できる要点資料に再構成する作業。			
人間所要時間：3時間（範囲：2〜4.5時間） 人間理由：経営コンサルと異なり、読み込む資料は仕様書・要件書・ベンダー提案書など技術的文書が中心。技術的な内容の正確な読解と「プロジェクト固有のリスク・示唆」への変換には専門知識が必要だが、情報ソースの範囲は比較的限定的なため合計工数はやや短め。			
AI所要時間：20分（範囲：10〜30分） AI理由：仕様書・要件書の要約・構造化はAIが非常に得意とする領域。類似プロジェクトの成功・失敗事例の収集もWeb検索機能で対応可能。「このプロジェクト固有のリスクへの示唆」の最終判断のみ人間が担えばよい。削減率：約89%			
##タスク番号2：指示書の作成（プロジェクト推進のための設計・指示）			
要件定義書（機能・非機能）・As-Is/To-Be業務フロー・WBS・RACI・作業指示書・リスク課題管理表など、プロジェクト推進に必要な文書一式を作成する作業。			
人間所要時間：16時間（範囲：12〜24時間） 人間理由：今回の3職種の中で最も工数が大きいタスク。機能要件・非機能要件の定義はクライアントとの複数回のヒアリングを前提とし、As-Is/To-Beのフロー図・WBS・RACI・リスク管理表まで揃えると文書量が膨大になる。特に開発・インフラ・QA・クライアントと多方面の関係者が絡むため、整合確認の往復にも時間を要する。			
AI所要時間：3時間（範囲：2〜4時間） AI理由：ヒアリングメモを入力すれば要件定義書・WBS・RACIのドラフトはAIが一括生成できる。リスク管理表も過去事例をもとにAIが雛形を提案可能。ただしAs-Is/To-Beのフロー図の清書（draw.io・Visio等）と、多関係者間の整合確認は人間作業として残るため、他職種より残存工数がやや多め。削減率：約81%			

##タスク番号3：プレゼン資料作成（クライアント向け報告・提案）			
進捗・課題・対応策・次ステップを「背景→現状→課題→対応策→次ステップ」の構造でまとめ、クライアントや経営層が意思決定できる報告資料を作成する作業。			
人間所要時間：10時間（範囲：6〜14時間） 人間理由：進捗報告資料は定例で繰り返し発生するため、慣れたPMであれば比較的スムーズに作れる。一方で課題対応策の「影響範囲・リソース・期限」の整合を取りながら資料に落とし込む作業と、クライアントの意思決定スタイルに合わせた表現調整には一定の経験と工数を要する。			
AI所要時間：2時間（範囲：1〜3時間） AI理由：進捗・課題・対応策の構造は定型的なため、AIがストーリーライン・スライド文言・Q&Aドラフトを高精度で生成できる。進捗グラフの作成もデータさえあればAI対応可能。クライアントの意思決定スタイルへの細かい表現調整と最終レビューは人間が担う。削減率：約80%			
【サマリー】			
タスク	人間（中央値）	AI導入後（中央値）	削減率
①記事要約	3時間（2〜4.5h）	20分（10〜30min）	約89%
②指示書作成	16時間（12〜24h）	3時間（2〜4h）	約81%
③プレゼン資料	10時間（6〜14h）	2時間（1〜3h）	約80%
合計	29時間	5.3時間	約82%

---
			
# Sonnet4.6 拡張思考			
model: sonnet46T

##タスク番号1: 記事の要約（情報収集・インプット整理）			
人間所要時間：4時間（目安範囲：3〜5時間） 技術動向・ベンダー資料・類似プロジェクトの成功失敗事例など、プロジェクト固有の専門性が高い資料を読み込む必要がある。単なる情報整理にとどまらず「プロジェクトへの示唆」まで落とし込む判断が求められるため、経験値に依存する部分が大きい。要件書・仕様書など技術文書の読解は専門知識がないと時間がかかりやすい。			
AI所要時間：20分（目安範囲：10〜30分） 仕様書・ベンダー資料・事例資料をインプットすれば、論点整理・リスク抽出・プロジェクトへの示唆を短時間で生成できる。ただし、技術的な妥当性の最終判断やプロジェクト固有の文脈への適合確認は人間が担う必要があるため、レビュー込みでの見積もり。			

##タスク番号2: 指示書の作成（要件定義書・WBS・RACI・リスク管理表等）			
人間所要時間：16時間（目安範囲：12〜20時間） PMの指示書は職業の中でも最も複雑度が高い。要件定義書（機能要件・非機能要件）・As-Is/To-Beフロー・WBS・RACI・ベンダー向け作業指示書・リスク管理表と成果物の種類が多く、開発・インフラ・QA・クライアントなど多数のステークホルダーとの合意形成が必要。仕様の抜け漏れが後工程に大きく影響するため、精度への要求が特に高い。			
AI所要時間：2時間（目安範囲：1.5〜3時間） ヒアリング内容・要求事項をインプットすれば、要件定義書の骨格・WBS・RACI・リスク管理表の叩き台を素早く生成できる。ただし、技術仕様の妥当性確認・ベンダーとの仕様合意・例外ケースの洗い出しは人間が担う必要があり、レビュー・修正込みでの見積もり。成果物の種類が多い分、AI活用による絶対的な時間削減効果は最も大きい職種のひとつ。			

##タスク番号3: プレゼン資料作成（クライアント向け進捗報告・課題提案）			
人間所要時間：14時間（目安範囲：10〜18時間） PMのプレゼンは進捗・課題・対応策・次ステップを「背景→現状→課題→対応策→次ステップ」の流れで説明する構成が中心。経営コンサルタントほどの戦略的重厚さはないが、遅延・リスク・コスト超過など「悪いニュース」を正確かつ誠実に伝える難しさがある。進捗率・リスク状況のグラフ化や、対応策の実行ステップ・影響範囲の整理に時間がかかる。チーム内レビューに加え、クライアントの意思決定スタイルへの調整も必要。			
AI所要時間：2時間（目安範囲：1〜3時間） 進捗データ・課題リスト・対応策をインプットすれば、ストーリーライン・スライド構成・Q&A草案を短時間で生成できる。ただしグラフの実作成・クライアントのトンマナ調整・リスク表現のニュアンス確認（ネガティブ情報の伝え方）は人間が担う必要があるため、レビュー込みでの見積もり。			
【まとめ】時間削減効果の概算			
タスク	人間（中央値）	AI活用後（中央値）	削減率
記事の要約	4時間	0.3時間	約92%
指示書の作成	16時間	2時間	約88%
プレゼン資料作成	14時間	2時間	約86%
合計	34時間	4.3時間	約87%

---
			
# Opus4.6			
model: opus46
職業名：PM（プロジェクトマネージャー）			

##タスク番号1: 記事の要約（情報収集・インプット整理） 技術動向・業界ニュース・ベンダー資料の読み込みとプロジェクトへの影響抽出、類似プロジェクトの成功・失敗事例調査、システム要件に関連するデータのグラフ化、クライアント・社内から提供された長文資料（要件書・仕様書・調査資料）を要点資料に再構成。情報を「結論→根拠→プロジェクトへの示唆」の構造に整理する。			
人間所要時間：3.5時間（範囲：2.5〜5時間） 人間理由：PMの要約はプロジェクトスコープに限定されるため、コンサルほど広範な情報収集は不要。ただし要件書・仕様書は技術的な正確性が求められ、読み飛ばしができない。ベンダー資料・類似事例の通読に1〜1.5時間、プロジェクト文脈に合わせた要点整理に1〜1.5時間、構造化・体裁調整に30分〜1時間。			
AI所要時間：40分（範囲：25分〜1時間） AI理由：要件書・仕様書・ベンダー資料の要約・構造化は高速。類似事例の検索・整理もWeb検索と組み合わせて効率化可能。ただし技術的な正確性の確認や、自社プロジェクト固有の制約条件との突合には人間レビューが1〜2回必要。			
##タスク番号2: 指示書の作成（プロジェクト推進のための設計・指示） 要件定義書（機能要件・非機能要件）の作成、As-Is/To-Be業務フローの可視化、WBS・RACI・作業指示書の作成、リスク・課題管理表の作成・運用。			
人間所要時間：8時間（範囲：6〜12時間） 人間理由：PMの指示書はプロジェクト全体の設計図であり、最も工数がかかるコアタスク。要件定義書の整理に2〜3時間、As-Is/To-Beフロー作成に1.5〜2.5時間、WBS・RACI作成に1.5〜3時間、リスク・課題管理表に1〜2時間、ベンダー向け作業指示書に1〜2時間。関係者（開発・インフラ・QA・クライアント）が多く、認識合わせの修正サイクルが重い。			
AI所要時間：2.5時間（範囲：1.5〜3.5時間） AI理由：ヒアリングメモや議事録からの要件定義ドラフト、WBS・RACI・リスク管理表のテンプレート生成、As-Is/To-Beフローの叩き台作成は高速。ただし要件の抜け漏れ確認、ステークホルダー間の優先度調整、非機能要件（性能・セキュリティ等）の妥当性判断は人間が担う。リスク管理表もプロジェクト固有のリスク評価は人間の経験に依存する。			

##タスク番号3: プレゼン資料作成（クライアント向け報告・提案） ストーリーライン構築（背景→現状→課題→対応策→次ステップ）、結論ファースト・1枚1メッセージのスライド作成、進捗率・遅延状況・リスク状況のグラフ化と「So What」明記、対応策の実行ステップ・リソース・影響範囲への落とし込み、想定Q&A作成、リハーサル。			
人間所要時間：6時間（範囲：4〜9時間） 人間理由：PMの報告資料はコンサルほどの戦略的ストーリーは求められないが、進捗・課題・リスクの正確な可視化と、クライアントの意思決定スタイルに合わせた表現調整が重要。ストーリーライン設計に1時間、スライド作成（10〜20枚）に2〜4時間、データのグラフ化・体裁調整に1時間、Q&A作成に30分〜1時間、レビュー・修正に1時間。			
AI所要時間：2時間（範囲：1.5〜3時間） AI理由：進捗データやリスク一覧からのスライド構成・グラフ生成・Q&A叩き台作成は高速。定例報告はフォーマットが固定化しやすく、AIの再利用効率が高い。ただしクライアントへの伝え方の微調整（遅延の説明トーン、リスクの見せ方等）や数値の正確性確認は人間が担う。			

---
			
# Opus4.6 拡張思考			
model: opus46T
職業名：PM（プロジェクトマネージャー）			

##タスク番号1：記事の要約（情報収集・インプット整理）			
技術動向・ベンダー資料・類似PJ事例の調査、クライアントや社内から提供された要件書・仕様書・調査資料（長文）を読み込み、「結論→根拠→PJへの示唆」構造でメンバーが即理解できる要点資料に再構成する。			
人間所要時間：中央値 3.5時間（範囲：2〜7時間）			
理由：技術動向・ベンダー資料の読み込みに0.5〜1.5時間、類似PJの成功/失敗事例調査とリスク・成功要因の整理に0.5〜1.5時間、クライアント提供資料（要件書・仕様書等、数十〜200ページ）の精読と要点抽出に1〜2.5時間、構造化・サマリー化に0.5〜1.5時間。コンサルタントほど広範な市場分析は不要だが、技術仕様の正確な理解が求められるため読み込みの密度は高い。			
AI所要時間：中央値 25分（範囲：10分〜50分）			
理由：仕様書・要件書のテキストを投入すれば要点抽出・比較表生成は数分で完了。類似事例の整理やリスク/成功要因の構造化もAIが得意な領域。人間は技術的正確性の検証、PJ固有のコンテキスト（契約条件・ステークホルダー事情等）との照合に10〜30分を充てる。			
##タスク番号2：指示書の作成（プロジェクト推進のための設計・指示）			
要件定義書（機能/非機能要件）の作成、As-Is/To-Be業務フローの可視化、WBS・RACI・リスク管理表の整備、ベンダー・開発チーム向け作業指示書の記述。			
人間所要時間：中央値 12時間（範囲：6〜24時間）			
理由：要件定義書（機能/非機能）の作成に3〜6時間、As-Is業務フローのヒアリング整理・図式化に1〜3時間、To-Beフロー設計と改善ポイント整理に1〜3時間、WBS作成（タスク分解・スケジュール・担当割当）に1〜3時間、RACI整備に0.5〜1.5時間、リスク・課題管理表の作成に1〜3時間、ベンダー向け作業指示書に1〜3時間。PMはコンサルタントや企画職と比べ、成果物の粒度が細かく（仕様レベルまで落とす）、関係者も多岐にわたるため、ドキュメント量・調整工数ともに最大級。			
AI所要時間：中央値 3時間（範囲：1.5〜6時間）			
理由：要件定義書の雛形・WBS・RACI・リスク管理表のテンプレートはAIが即座に生成可能。ヒアリングメモからAs-Is/To-Beフロー案を起こすことも高速。ただしPM特有の課題として、①ベンダー契約条件・SLAとの整合、②開発チームの技術スタック固有の制約反映、③複数ステークホルダー間の合意形成、④リスクの現実的な蓋然性評価は人間判断が不可欠。レビュー・修正・関係者フィードバック反映に1.5〜4時間を要する。			

##タスク番号3：プレゼン資料作成（クライアント向け報告・提案）			
「背景→現状→課題→対応策→次ステップ」のストーリーライン構築、進捗率・遅延状況・リスク状況のグラフ化、対応策の実行ステップ整理、想定Q&A作成、プレゼン練習。			
人間所要時間：中央値 7時間（範囲：4〜14時間）			
理由：ストーリーライン設計に0.5〜1.5時間、スライド作成（8〜20枚想定）に2〜5時間、進捗・リスクデータのグラフ化・可視化に1〜2.5時間、Q&A作成・チームレビューに1〜2.5時間、プレゼン練習に0.5〜1.5時間。PMの報告資料はコンサルタントの提案資料ほど「提案の説得力」を求められない代わりに、「事実の正確性」と「課題の漏れなさ」が厳しく問われる。数値の裏取りや遅延理由の整理に時間がかかりやすい。			
AI所要時間：中央値 2時間（範囲：1〜4時間）			
理由：進捗報告のスライド構成・メッセージ案・Q&Aドラフトは数分で生成可能。ガントチャートやリスクヒートマップの雛形もAIが提示できる。ただし進捗数値の正確性確認（実データとの突合）、遅延要因の因果関係の正確な記述、クライアントの意思決定スタイルに合わせた表現調整、チームレビュー対応は人間が行う必要があり、1〜3時間の仕上げ工程が残る。			
まとめ			
タスク	人間（中央値）	AI活用時（中央値）	削減率
①要約	3.5時間	25分	約88%
②指示書作成	12時間	3時間	約75%
③プレゼン資料	7時間	2時間	約71%
合計	22.5時間	5.4時間	約76%

---			
			
# Haiku			
model: haiku45
職業名：PM（プロジェクトマネージャー）			

##タスク番号1：記事の要約（情報収集・インプット整理）			
人間所要時間：3.5～5時間（中央値：4.25時間）			
人間理由：			
プロジェクトに関連する技術動向、業界ニュース、ベンダー資料など複数ソースの確認が必要			
類似プロジェクトの成功事例・失敗事例の調査にはプロジェクト経験に基づく検索力が必要			
クライアント提供の要件書・仕様書・調査資料は専門用語が多く、精読に時間を要する			
システム要件や業務要件のデータ解釈には、技術的・業務的な理解が必須			
プロジェクトメンバーが理解できるレベルの要点資料への再構成に思考力を要する			
ただし、経営コンサルタント向けの「戦略的インサイト導出」ほどの抽象化は不要			
リスク・成功要因の抽出には、プロジェクト管理経験に基づく判断が必要			
AI所要時間：14～20分（中央値：17分）			
AI理由：			
技術資料やベンダー資料の高速読み込みと要点抽出が得意			
複数のプロジェクト管理フレームワークの知識から、類似事例の示唆を構造化可能			
要件書・仕様書の自動要約と項目の分類が迅速			
データの解釈と図表化の指示が効率的			
ただし、業界特有の技術トレンドやプロジェクト特性への深い理解が限定的			
リスク判定には、実プロジェクトの経験が必要			
最終的な戦略的判断は人間が主導する必要がある			

##タスク番号2：指示書の作成（プロジェクト推進のための設計・指示）			
人間所要時間：8～12時間（中央値：10時間）			
人間理由：			
クライアント要件ヒアリングと要件整理に多大な時間を要する（複数回のディスカッション必要）			
As-Is業務フロー（現状）のヒアリングと可視化に時間がかかる			
To-Be業務フロー（あるべき姿）の定義には、ビジネス理解と実装可能性のバランス判断が必須			
要件定義書の作成は、機能要件・非機能要件・制約条件など多面的な要素を含む			
WBS（作業分解構造）の作成には、プロジェクト全体のスコープ把握と詳細タスク設計が必要			
RACI表の作成には、複数ステークホルダー（開発、インフラ、QA、クライアント）との調整が必須			
ベンダー・開発チーム向けの作業指示書は、高い精度が求められる			
リスク・課題管理表の設計と運用ルール整備に時間を要する			
複数バージョンのレビューと修正に時間がかかる			
AI所要時間：45～65分（中央値：55分）			
AI理由：			
要件定義書の標準フレームワークと初期版の高速生成が可能			
As-Is/To-Beフロー図の構成案とテンプレートの迅速な提示が可能			
WBS、RACI表などのプロジェクト管理文書の自動生成が得意			
リスク・課題管理表のテンプレートと標準的なリスク項目の提案が可能			
作業指示書のドラフトテキストの高速生成が可能			
ただし、クライント固有のビジネスプロセスや組織特性の深い理解が限定的			
実装可能性の判断には、技術的な深掘りが必要			
ステークホルダーとの関係調整に基づいた最終化は人間が主導する必要がある			
複数回の修正と利害関係者との合意形成には人間の対話が必須			

##タスク番号3：プレゼン資料作成（クライアント向け報告・提案）			
人間所要時間：5～8時間（中央値：6.5時間）			
人間理由：			
プロジェクト進捗・課題・対応策を統合したストーリーラインの構築に時間を要する			
進捗率、遅延状況、リスク状況などのプロジェクトデータの分析と視覚化に時間がかかる			
経営層とプロジェクトメンバーなど異なる対象者ごとにメッセージを最適化する必要がある			
課題への対応策の具体化（実行ステップ・必要リソース・影響範囲）に時間を要する			
クライアントの文化や意思決定スタイルに合わせた表現調整に時間がかかる			
想定質問と回答案作成には、クライアントの懸念事項の予測が必要			
報告会前の練習に時間を費やす			
AI所要時間：28～40分（中央値：34分）			
AI理由：			
プロジェクト進捗報告のストーリーライン案の高速生成が可能（背景→現状→課題→対応策→次ステップ）			
スライド構成案とテキスト原案の迅速な作成が得意			
進捗ダッシュボード（進捗率、遅延、リスク）の視覚化指示が効率的			
標準的なQ&A例の自動生成が可能			
複数対象者向けのメッセージバリエーション案の作成が可能			
