# Sonnet4.6			
model: sonnet46
職業名：研修講師・インストラクショナルデザイナー			

##タスク番号1：記事の要約（情報収集・インプット整理）			
専門書・論文・調査レポート・他社研修事例などを読み込み、「結論→根拠→学習者への示唆」の構造で研修スライドに落とし込める要点資料に再構成する作業。			
人間所要時間：3時間（範囲：2〜4.5時間） 人間理由：読み込む資料は専門書・論文・調査レポートなど難易度が高いものが多く、内容の正確な理解に時間を要する。さらに「この受講者層にとって何が学びになるか」という教育設計の視点での再解釈が必要で、単純な要約より一段深い処理が求められる。一方でソースの範囲は研修テーマに絞られるため、コンサルほど広範な情報収集は不要。			
AI所要時間：20分（範囲：10〜30分） AI理由：専門書・論文の要約・構造化はAIが高精度で処理できる。他社研修事例の収集もWeb検索機能で対応可能。「この受講者層への示唆」という教育的解釈の部分のみ、講師が最終レビューで補正すれば足りる。削減率：約89%			
##タスク番号2：指示書の作成（研修設計・教材制作のための設計・指示）			
研修設計書・学習ギャップ分析・構成案（章立て・時間配分）・教材制作指示書・WBS・RACI・当日運営手順書など、研修を動かすための文書一式を作成する作業。			
人間所要時間：10時間（範囲：7〜14時間） 人間理由：研修設計書と構成案（導入→講義→演習→振り返りの設計）はこの職種固有の専門性が最も問われる文書。受講者の学習ギャップ分析はヒアリングを前提とし、「何をどの順序で教えると最も学習効果が上がるか」というインストラクショナルデザインの知見が必要。演習・ケーススタディの設計も含まれるため、他職種の指示書作成より創造的な工数が多い。			
AI所要時間：1.5時間（範囲：1〜2.5時間） AI理由：研修設計書の骨格・WBS・RACI・当日運営手順書はAIがドラフト生成しやすい。構成案も「テーマ・受講者レベル・時間」を与えれば章立てと時間配分をAIが提案できる。演習・ケーススタディのアイデア出しもAIが得意とする領域。ただし学習効果の観点での最終設計判断は講師の専門性が必須。削減率：約85%			
##タスク番号3：プレゼン資料作成（研修用スライド・説明資料）			
ストーリーライン構築・スライド作成・図解・演習設計・Q&A作成・リハーサルまでを含む研修用スライド一式の制作作業。			
人間所要時間：12時間（範囲：8〜18時間） 人間理由：この職種のプレゼン資料は「クライアントへの報告資料」ではなく「受講者が学ぶための教材」であり、1枚ごとの情報量・図解の工夫・演習との接続など、教育的配慮が求められる設計が必要。スライド枚数も研修時間に比例して多くなりがち（半日研修で40〜60枚程度）で、他職種より絶対的な制作量が多い。受講者レベルや業界特性への細かい表現調整も工数に影響する。			
AI所要時間：2.5時間（範囲：1.5〜4時間） AI理由：各スライドの文言・図解の構成案・演習の手順説明・Q&Aドラフトはすべてアイデア出しをAIに任せられる。スライド枚数が多い分、AI活用による絶対的な時間削減効果は大きい。ただし「学習の流れとして自然かどうか」という教育的観点での磨き込みと、図解の実際のデザイン作業は人間が担う。削減率：約79%			
【サマリー】			
タスク	人間（中央値）	AI導入後（中央値）	削減率
①記事要約	3時間（2〜4.5h）	20分（10〜30min）	約89%
②指示書作成	10時間（7〜14h）	1.5時間（1〜2.5h）	約85%
③プレゼン資料	12時間（8〜18h）	2.5時間（1.5〜4h）	約79%
合計	25時間	4.3時間	約83%

---
			
# Sonnet4.6 拡張思考			
model: sonnet46T
職業名：研修講師・インストラクショナルデザイナー ※対象例：企業研修講師、インストラクショナルデザイナー、社内トレーナー、eラーニング教材制作者			

##タスク番号1: 記事の要約（情報収集・インプット整理）			
人間所要時間：3.5時間（目安範囲：2.5〜4.5時間） 業界ニュース・専門書・論文・他社研修事例など複数ソースを読み込み、「結論→根拠→学習者への示唆」の構造に整理する。単なる情報抽出にとどまらず、「受講者のレベルや業界特性に合わせてどう伝えるか」という教育設計の観点での読み解きが必要なため、経験と教育センスに依存する部分が大きい。100〜200ページの資料を研修スライドに落とし込めるレベルまで噛み砕く作業に時間がかかる。			
AI所要時間：15分（目安範囲：10〜20分） 専門書・論文・研修事例資料をインプットすれば、要点抽出・学習ポイントの整理・他社事例の比較サマリーを短時間で生成できる。ただし「受講者にとっての理解しやすさ」「研修での伝わり方」の最終判断は講師・デザイナーの教育的感性が不可欠なため、レビュー・方向性調整込みでの見積もり。			

##タスク番号2: 指示書の作成（研修設計書・教材制作指示書・WBS・運営手順書等）			
人間所要時間：10時間（目安範囲：7〜13時間） 研修設計書（目的・ゴール・ターゲット）・学習ギャップ分析・構成案（導入→講義→演習→振り返りの時間配分）・教材制作指示書（トンマナ・内容範囲・演習仕様）・WBS・RACI・当日運営手順書と成果物の種類が多い。特に演習設計・ケーススタディの設計は受講者の行動変容を想定した設計が必要で、単なる文書作成以上の教育的判断が求められる。外部講師やスライド制作担当者への指示書は仕様の抜け漏れが研修品質に直結するため、精度への要求が高い。			
AI所要時間：1.5時間（目安範囲：1〜2時間） 研修目的・ターゲット・学習ギャップをインプットすれば、研修設計書の骨格・構成案・教材制作指示書の叩き台・運営チェックリストを素早く生成できる。演習設計やケーススタディの骨格もAIが得意とする領域だが、受講者の実態に合わせた難易度調整・現場感のある事例への修正は人間が担う必要があるため、レビュー・修正込みでの見積もり。			

##タスク番号3: プレゼン資料作成（研修用スライド・説明資料）			
人間所要時間：12時間（目安範囲：8〜16時間） 他職種のプレゼン資料と異なり、研修スライドは「伝える」だけでなく「学ばせる」ことを目的とするため、1枚あたりの設計コストが高い。導入→知識→演習→まとめのストーリーライン構築に加え、概念の図解・演習手順の落とし込み・受講者レベルへの言葉の調整が必要。さらにeラーニング教材の場合はインタラクション設計（クイズ・分岐）も加わり、通常のプレゼン資料より制作工数が大きくなりやすい。講師間レビューと本番練習も工数として発生する。			
AI所要時間：2時間（目安範囲：1.5〜3時間） 学習ポイント・演習内容・受講者プロフィールをインプットすれば、スライド構成・図解の骨格・演習シナリオ・Q&A草案を短時間で生成できる。ただし「学習者が理解しやすい図解の仕上げ」「演習の難易度・現場感の調整」「受講者レベルに合わせた言葉の最終調整」は講師・デザイナーが担う必要があり、レビュー込みでの見積もり。eラーニングのインタラクション実装は別途ツール作業が発生するため本見積もりの対象外。			
【まとめ】時間削減効果の概算			
タスク	人間（中央値）	AI活用後（中央値）	削減率
記事の要約	3.5時間	0.25時間	約93%
指示書の作成	10時間	1.5時間	約85%
プレゼン資料作成	12時間	2時間	約83%
合計	25.5時間	3.75時間	約85%

---			
# Opus4.6			
model: opus46
職業名：研修講師・インストラクショナルデザイナー			

##タスク番号1: 記事の要約（情報収集・インプット整理） 業界ニュース・専門書・論文・調査レポートの読み込みと研修テーマに必要な部分の抽出、他社研修事例・教育トレンドの調査、研修テーマ関連データのグラフ化、100〜200ページの資料を研修スライドに落とし込めるレベルの要点資料に再構成。情報を「結論→根拠→学習者への示唆」の構造に整理する。			
人間所要時間：3.5時間（範囲：2.5〜5時間） 人間理由：研修テーマに特化した情報収集のためスコープは比較的絞られるが、「学習者が理解・実践できる形」への再構成には教育設計の視点が必要。専門書・論文の通読に1〜1.5時間、他社事例・トレンドの調査に1時間、学習者レベルに合わせた要点再構成・グラフ化に1〜1.5時間。			
AI所要時間：40分（範囲：25分〜1時間） AI理由：資料要約・事例検索・データ整理は高速。ただし「学習者への示唆」の変換、つまり専門情報を受講者のレベル・業務文脈に合わせてかみ砕く部分は講師の教育的判断に依存。ドラフト生成→講師レビュー→表現修正で1〜2サイクル必要。			

##タスク番号2: 指示書の作成（研修設計・教材制作のための設計・指示） 研修設計書（目的・ゴール・ターゲット）の作成、学習ギャップ分析資料の作成、研修構成案（導入→講義→演習→振り返り、章立て・時間配分）の設計、教材制作指示書（トンマナ・内容範囲・演習仕様）の作成、WBS・RACI・当日運営手順書の作成。			
人間所要時間：6時間（範囲：4〜8時間） 人間理由：研修設計は「何を教えるか」だけでなく「どう学ばせるか」の設計が核心。研修設計書の整理に1〜1.5時間、学習ギャップ分析に1〜1.5時間（受講者ヒアリング・現場マネージャーとの擦り合わせ含む）、構成案の設計（時間配分・演習設計）に1.5〜2時間、教材制作指示書に1時間、WBS・RACI・運営手順書に30分〜1時間。演習やケーススタディの設計は受講者の業務実態に合わせる必要があり、テンプレ化しにくい。			
AI所要時間：2時間（範囲：1.5〜3時間） AI理由：研修設計書・構成案のドラフト、WBS・RACI・運営手順書のテンプレ生成は高速。学習目標からの逆算で構成案を複数パターン提示することも可能。教材制作指示書もトンマナや内容範囲の叩き台は短時間で作れる。ただし演習設計（受講者の業務に即したケーススタディ、ワークの難易度調整、時間配分の実現可能性）は講師の経験に依存し、人間による設計・調整が不可欠。			

##タスク番号3: プレゼン資料作成（研修用スライド・説明資料） ストーリーライン構築（導入→知識→演習→まとめ）、結論ファースト・1枚1メッセージのスライド作成、データ・概念の図解と「So What」明記、演習内容・ケーススタディの手順・目的・期待効果への落とし込み、受講者レベルに合わせた表現調整、想定Q&A作成、リハーサル。			
人間所要時間：8時間（範囲：6〜12時間） 人間理由：研修スライドは他職種のプレゼン資料と異なり、「受講者が学べる・実践できる」ための教材としての設計が求められる。ストーリーライン設計に1〜1.5時間、スライド作成（30〜50枚、演習シート含む）に3〜6時間、図解・グラフ化に1〜1.5時間、演習・ケーススタディのワークシート作成に1〜2時間、Q&A作成に30分、レビュー・リハーサルに1時間。枚数が多く、かつ受講者の理解を促す図解や演習設計に工数がかかる。			
AI所要時間：2.5時間（範囲：1.5〜3.5時間） AI理由：スライド構成・図解の叩き台・Q&A生成は高速。特に知識パートのスライド生成やケーススタディの素案作成はAIの得意領域。ただし受講者のレベルに合わせた表現の微調整、演習の難易度設計、講師としての「間」や強調ポイントの設計、リハーサルは人間が担う。枚数が多い分、AIドラフト→人間修正のサイクルも複数回必要。			

---
			
# Opus4.6 拡張思考			
model: opus46T
職業名：研修講師・インストラクショナルデザイナー			

##タスク番号1：記事の要約（情報収集・インプット整理）			
業界ニュース・専門書・論文・調査レポート等を読み込み、研修テーマに必要な部分を抽出して要約。100〜200ページの資料を「結論→根拠→学習者への示唆」構造で研修スライドに落とし込めるレベルの要点資料に再構成する。			
人間所要時間：中央値 3.5時間（範囲：2〜7時間）			
理由：専門書・論文・調査レポートの精読に1〜2.5時間、他社研修事例・教育トレンドの調査と成功要因整理に0.5〜1.5時間、データのグラフ化・サマリー作成に0.5〜1.5時間、要点の研修文脈への読み替え（「学習者がこれをどう使えるか」の翻訳）に0.5〜1.5時間。編集者と同程度の資料量を扱うが、研修講師特有のポイントとして「知識をそのまま要約する」のではなく「学習者が行動変容できるレベルに噛み砕く」必要があり、単純な情報圧縮より一段深い再構成が求められる。			
AI所要時間：中央値 30分（範囲：15分〜1時間）			
理由：論文・レポートの要約、事例比較表の生成、データの構造化はAIが高速処理可能。「学習目標に対してどの情報が必要か」のフィルタリングもプロンプト次第で対応できる。人間は①学習者のレベルに合った粒度への調整、②現場で「使える」具体例への変換、③研修全体の流れとの整合確認に15〜30分を充てる。			

##タスク番号2：指示書の作成（研修設計・教材制作のための設計・指示）			
研修設計書（目的・ゴール・ターゲット）、学習ギャップ分析資料、研修構成案（導入→講義→演習→振り返り、時間配分）、教材制作指示書（トンマナ・内容範囲・演習仕様）、WBS・RACI、当日運営手順書の作成。			
人間所要時間：中央値 8時間（範囲：4〜16時間）			
理由：研修設計書（目的・ゴール・ターゲット定義）に1〜2時間、受講者の現状スキル・課題のヒアリング整理と学習ギャップ分析に1〜2.5時間、研修構成案（章立て・時間配分・演習設計）に1.5〜3時間、教材制作指示書（トンマナ・内容範囲・演習仕様の言語化）に1〜2.5時間、WBS・RACI・当日運営手順書に1〜3時間。本職種の指示書作成が重い理由は演習設計にある。講義部分の構成は比較的定型化できるが、「受講者の行動変容を促す演習」の設計には学習理論の知識と現場感が必要で、ケーススタディの題材選定・ワークシート設計・ファシリテーション手順まで落とし込む必要がある。			
AI所要時間：中央値 2時間（範囲：1〜4時間）			
理由：研修設計書・構成案・WBS・RACI・運営手順書の雛形はAIが即座に生成可能。学習目標に基づいた章立て・時間配分案も提示できる。演習設計についても、ケーススタディ案・ディスカッション問い・ロールプレイシナリオの素案を複数パターン生成できる点は大きなアドバンテージ。ただし①受講者の実際のスキルレベル・現場課題との適合判断、②演習の難易度・時間配分の現実性検証、③ファシリテーション上の落とし穴の予測、④外部講師・制作担当者への意図の正確な伝達は人間が担う必要があり、レビュー・調整に1〜3時間を要する。			
##タスク番号3：プレゼン資料作成（研修用スライド・説明資料）			
「導入→知識→演習→まとめ」のストーリーライン構築、1枚1メッセージのスライド作成、データ・概念の図解化、演習手順・ケーススタディの資料化、想定Q&A作成、研修リハーサル。			
人間所要時間：中央値 10時間（範囲：5〜20時間）			
理由：ストーリーライン設計に1〜2時間、スライド作成（20〜50枚想定、半日〜1日研修の場合）に3〜8時間、概念の図解化・データ可視化に1〜3時間、演習用資料（ワークシート・ケース素材・ロールプレイ台本等）に1.5〜3.5時間、Q&A作成・講師間レビューに1〜2時間、リハーサルに1〜2時間。本職種のプレゼン資料は全8職種中でスライド枚数が最多になりやすい。コンサルやPMの報告資料が10〜30枚であるのに対し、研修スライドは半日で20〜30枚、1日研修で40〜60枚に達する。さらに「スライド＋演習用配布物」のセットで制作する必要があり、資料のバリエーションが多い。			
AI所要時間：中央値 3時間（範囲：1.5〜6時間）			
理由：スライド構成案・各スライドのメッセージ案・図解の素案・Q&Aドラフトは高速生成可能。演習用のケーススタディ文面やワークシートのドラフトもAIが作成でき、ゼロから書くよりも大幅に時間短縮できる。ただし①受講者のレベルに合った表現・難易度の微調整、②図解のビジュアルデザイン仕上げ、③演習資料の現実性・実践性の検証、④講師としての「間」や強調ポイントを踏まえたリハーサルは人間が行う必要があり、1.5〜4時間の仕上げ工程が残る。			
まとめ			
タスク	人間（中央値）	AI活用時（中央値）	削減率
①要約	3.5時間	30分	約86%
②指示書作成	8時間	2時間	約75%
③プレゼン資料	10時間	3時間	約70%
合計	21.5時間	5.5時間	約74%
			
研修講師・インストラクショナルデザイナーは、プレゼン資料の人間工数が全8職種中で最大級（中央値10時間）です。これはスライド枚数の多さに加え、演習用配布資料（ワークシート・ケース素材・ロールプレイ台本等）という研修特有の副産物が必要なためです。			
			
一方、AI削減率は74%と他職種（75〜80%）と比べてやや低めです。その理由は、研修設計には以下の**「人間にしかできない判断」の比重が大きい**ためです。			
			
学習者理解：受講者の実際のスキルレベル・モチベーション・現場課題を踏まえた内容調整			
演習の現実性検証：AIが生成したケーススタディが「現場で本当に起こりうるか」「受講者が取り組める難易度か」の判断			
ファシリテーション設計：「ここで受講者が詰まりやすい」「この問いかけで気づきが生まれる」といった場の力学の予測			
リハーサル：研修は"ライブ"であり、話す速度・間・受講者との対話は人間が体で準備する領域			
			
AIは「素材の大量生成」で圧倒的な威力を発揮しますが、研修の成否を決める**「学びの体験設計」**は引き続き講師の専門性に依存する領域です。			
			
---
			
# Haiku			
model: haiku45
職業名：研修講師・インストラクショナルデザイナー			

##タスク番号1：記事の要約（情報収集・インプット整理）			
人間所要時間：4～6時間（中央値：5時間）			
人間理由：			
業界ニュース、専門書、論文、調査レポートなど多様な情報源を読み込む必要がある			
100～200ページの大量資料の精読と内容理解に時間を要する			
他社の研修事例や教育トレンドの調査分析に時間がかかる			
研修テーマに関連するデータ（市場動向、行動特性、統計）のグラフ化に時間を費やす			
「結論→根拠→学習者への示唆」の構造への再構成に時間を要する			
受講者が理解しやすいレベルへの情報圧縮には、教育的な視点が必須			
複数の情報源から学習に必要なポイントの選別に教育経験が必要			
AI所要時間：15～21分（中央値：18分）			
AI理由：			
大量の専門書、論文、資料の高速読み込みと要点抽出が得意			
複数の情報源から共通テーマを自動抽出・比較可能			
データの解釈とグラフ化の指示が迅速			
標準的な「結論→根拠→示唆」フレームワークへの自動適用が可能			
ただし、受講者の学習レベルや背景知識への適応が限定的			
教育心理学的な「何が理解困難か」という判断に限界がある			
最終的な教育的観点からの情報選別は人間が主導する必要がある			

##タスク番号2：指示書の作成（研修設計・教材制作のための設計・指示）			
人間所要時間：8～12時間（中央値：10時間）			
人間理由：			
