# Sonnet4.6
model: sonnet46
職業名：経営コンサルタント			

##タスク番号1：記事の要約（情報収集・インプット整理）			
業界ニュース・調査レポート・政府統計などを読み込み、「結論→根拠→示唆」の構造で1〜2ページの要点資料に再構成する作業。			
人間所要時間：4時間（範囲：3〜5時間） 人間理由：100〜300ページの資料を精読し、クライアント文脈に照らして取捨選択・再構成する作業は、読解・判断・文章化のすべてに専門的思考を要する。特に「示唆（So What）」を導く部分はコンサルタントの経験値に依存するため、経験3〜5年の標準的な人材で半日程度かかる。			
AI所要時間：30分（範囲：20〜40分） AI理由：資料のテキスト抽出・構造化・要約はAIが最も得意とする領域。ただし「クライアント固有の文脈に合わせた示唆の生成」と「最終品質確認」には人間のレビューが必要なため、プロンプト設計・出力確認込みでこの時間を想定。削減率：約87%
			
##タスク番号2：指示書の作成（プロジェクト推進のための設計・指示）			
To-Be定義・As-Isヒアリング結果の可視化・要件定義書・WBS・RACIなど、プロジェクト推進に必要な文書一式を作成する作業。			
人間所要時間：12時間（範囲：8〜16時間） 人間理由：ヒアリング内容の解釈・ギャップ分析・要件の言語化・図の作成・関係者調整など、複数の複合スキルを要する。特にWBSとRACIの整合を取りながら仕上げるプロセスは、ベテランでも1〜2日かかるのが標準的。			
AI所要時間：2時間（範囲：1.5〜3時間） AI理由：ヒアリングメモや課題一覧を入力すれば、To-Be定義・要件定義書のドラフト・WBS・RACIの雛形をAIが一括生成できる。ただし、図の作成（Visio等への落とし込み）とクライアント固有の調整は人間作業として残るため、この時間を想定。削減率：約83%			

##タスク番号3：プレゼン資料作成（クライアント向け報告・提案）			
ストーリーライン構築・スライド作成・グラフ化・Q&A作成・リハーサルまでを含むプレゼン資料の一連の制作作業。			
人間所要時間：15時間（範囲：10〜20時間） 人間理由：論理構成の設計からスライドデザイン・文言調整・想定Q&A・リハーサルまで含めると、中規模の提案資料（20〜30枚）で標準的なコンサルタントが2〜3日を要する。クライアントの業界特性に合わせた表現調整も工数に影響する。			
AI所要時間：3時間（範囲：2〜4時間） AI理由：ストーリーライン・各スライドの文言・Q&AドラフトはAIで高速生成が可能。PowerPoint等への実装と、経営層を納得させる「見せ方の磨き込み」は人間の判断が必要なため、この時間を想定。削減率：約80%			
【サマリー】			
タスク	人間（中央値）	AI導入後（中央値）	削減率
①記事要約	4時間（3〜5h）	30分（20〜40min）	約87%
②指示書作成	12時間（8〜16h）	2時間（1.5〜3h）	約83%
③プレゼン資料	15時間（10〜20h）	3時間（2〜4h）	約80%
合計	31時間	5.5時間	約82%

---
			
# Sonnet4.6 拡張思考
model: sonnet46T
職業名：経営コンサルタント			

##タスク番号1: 記事の要約（情報収集・インプット整理）			
人間所要時間：4.5時間（目安範囲：3〜6時間） 業界レポートや調査資料（100〜300ページ）を読み込み、クライアントに関連する部分を抽出して「結論→根拠→示唆」の構造に整理するには、読解・判断・文章化のプロセスが必要。熟練コンサルタントでも1件あたり半日程度かかるのが標準的。			
AI所要時間：22分（目安範囲：15〜30分） 資料をアップロードしてプロンプトを与えれば、構造化されたサマリーを数分で生成できる。ただし、クライアント文脈への適合性確認や微調整に人間のレビュー時間が必要なため、完全にゼロにはならない。			

##タスク番号2: 指示書の作成（To-Beプロセス・要件定義・WBS等）			
人間所要時間：12時間（目安範囲：8〜16時間） ヒアリング内容の整理、As-Is/To-Beの設計、要件定義書・WBS・RACIの作成まで含めると、複数日にまたがる作業になることが多い。関係者との認識合わせや修正も含めると2〜3営業日が標準。			
AI所要時間：1.5時間（目安範囲：1〜2時間） ヒアリング内容をテキストで与えれば、To-Beフロー・要件定義・WBS・RACIの骨格を短時間で生成できる。ただし、業務固有の条件反映やステークホルダーとの合意形成は人間が担う必要があり、レビュー・修正込みでの見積もり。			
##タスク番号3: プレゼン資料作成（クライアント向け報告・提案）			
人間所要時間：20時間（目安範囲：16〜24時間） ストーリーライン構築から1枚1メッセージのスライド作成、データのグラフ化、Q&A準備、チームレビューまで含めると、重要な提案資料では2〜3日かかるのが一般的。デザイン調整や複数回の修正も工数に含まれる。			
AI所要時間：3時間（目安範囲：2〜4時間） ストーリーライン・スライド構成・想定Q&Aの草案はAIが数分で生成可能。ただし、クライアントのトンマナへの調整、図表の実際の作成・整形、最終レビューは人間が行う必要があり、トータルでの見積もり。			
【まとめ】時間削減効果の概算			
タスク	人間（中央値）	AI活用後（中央値）	削減率
記事の要約	4.5時間	0.4時間	約91%
指示書の作成	12時間	1.5時間	約88%
プレゼン資料作成	20時間	3時間	約85%
合計	36.5時間	4.9時間	約87%

---
			
# Opus4.6
model: opus46			
職業名：経営コンサルタント			

##タスク番号1: 記事の要約（情報収集・インプット整理） 業界ニュース・調査レポート・政府統計などを読み込み、クライアントに関係する部分を抽出して1〜2ページに圧縮。競合動向の整理、数値のグラフ化、100〜300ページの資料を経営層が5分で理解できる要点資料に再構成。情報を「結論→根拠→示唆」の構造に整理する。			
人間所要時間：4時間（範囲：3〜5時間） 人間理由：100〜300ページの資料通読に1〜2時間、クライアント文脈に合わせた取捨選択・構造化に1〜2時間、グラフ化・体裁調整に30分〜1時間。複数ソースの横断的整理が必要なため、標準的な中堅コンサルタントで4時間程度。			
AI所要時間：45分（範囲：30分〜1時間） AI理由：資料の読み込み・要約・構造化自体は数分。ただしクライアント固有の文脈に合わせた示唆出しや「So What」の精度担保には人間レビュー・修正が1〜2サイクル必要。			

##タスク番号2: 指示書の作成（プロジェクト推進のための設計・指示） クライアントの課題整理、As-Is/To-Be業務フローの可視化、ギャップ分析、要件定義書・WBS・RACIの作成、手順書の記述。			
人間所要時間：7時間（範囲：5〜10時間） 人間理由：ヒアリング内容の整理に1〜2時間、As-Is/To-Beフローの作図に2〜3時間、要件定義書・WBS・RACI作成に2〜4時間。関係者との認識合わせや修正サイクルも含む。			
AI所要時間：2時間（範囲：1〜3時間） AI理由：議事録やヒアリングメモからAs-Is整理・課題抽出・To-Be案・WBS・RACIのドラフト生成は高速。ただしヒアリング自体は人間が行い、業務フローの正確性やクライアント固有の制約反映には人間レビューが必須。			

##タスク番号3: プレゼン資料作成（クライアント向け報告・提案） ストーリーライン構築、結論ファースト・1枚1メッセージのスライド作成、データのグラフ化と「So What」明記、改善案の実行ステップ・リソース・効果試算への落とし込み、想定Q&A作成、リハーサル。			
人間所要時間：10時間（範囲：8〜15時間） 人間理由：ストーリーライン設計に1〜2時間、スライド作成（20〜30枚）に4〜8時間、グラフ化・体裁調整に1〜2時間、Q&A作成に1〜2時間、レビュー・修正に1〜2時間。「1枚1メッセージ」の精度が求められ推敲に時間がかかる。			
AI所要時間：3時間（範囲：2〜4時間） AI理由：ストーリーライン案・スライド構成・Q&A叩き台の生成は高速。PPTX自動生成も可能。ただしクライアント好みのデザイン調整、メッセージの磨き込み、数値正確性の確認、リハーサルは人間が担う。			

---
			
# Opus4.6 拡張思考			
model: opus46T
職業名：経営コンサルタント			

##タスク番号1：記事の要約（情報収集・インプット整理）			
業界ニュース・調査レポート・政府統計等を読み込み、クライアントに関係する部分を抽出して1〜2ページに圧縮。100〜300ページの資料を「結論→根拠→示唆」構造で経営層向け要点資料に再構成する。			
人間所要時間：中央値 4時間（範囲：2〜8時間）			
理由：100〜300ページの資料精読に1.5〜3時間、複数ソースの横断比較・構造化に1〜2時間、要点資料への落とし込み・推敲に1〜2時間。テーマの専門性や資料の言語（英文レポート等）によって大きく変動する。			
AI所要時間：中央値 30分（範囲：15分〜1時間）			
理由：PDFやテキストを投入すれば数分で要約ドラフトが生成される。人間はAI出力の事実確認・論点の取捨選択・クライアント文脈への適合チェックに15〜30分を要する。複数ソースの横断整理もプロンプト設計次第で一括処理可能。			

##タスク番号2：指示書の作成（プロジェクト推進のための設計・指示）			
As-Is/To-Be業務フローの可視化、要件定義書の作成、WBS・RACIの整備、クライアント担当者向け手順書の記述。			
人間所要時間：中央値 8時間（範囲：4〜16時間）			
理由：クライアントヒアリングの整理に1〜2時間、As-Is/To-Beフロー図の作成に2〜4時間、要件定義書やWBS・RACIの作成に3〜6時間。ステークホルダーの合意形成やレビュー往復を含めるとさらに増加する。文書のフォーマット整備や図の調整にも工数がかかる。			
AI所要時間：中央値 2時間（範囲：1〜4時間）			
理由：ヒアリングメモを入力すればAs-Is/To-Beフロー案・WBS・RACIの雛形は数分で生成可能。要件定義書のドラフトもテンプレ付きで出力できる。ただし業務フローの正確性検証、クライアント固有の制約反映、ステークホルダーとの調整は人間判断が不可欠なため、レビュー・修正に1〜3時間必要。			

##タスク番号3：プレゼン資料作成（クライアント向け報告・提案）			
調査結果をもとにストーリーライン構築、1枚1メッセージのスライド作成、データのグラフ化、想定Q&A作成、プレゼン練習。			
人間所要時間：中央値 10時間（範囲：5〜20時間）			
理由：ストーリーライン設計に1〜3時間、スライド作成（10〜30枚想定）に3〜8時間、グラフ・図表の作成・調整に1〜3時間、Q&A作成・チームレビューに1〜3時間、プレゼン練習に1〜2時間。クライアントのブランドガイドラインへの適合やデザイン調整が工数を押し上げる要因。			
AI所要時間：中央値 3時間（範囲：1.5〜6時間）			
理由：ストーリーライン案・スライド構成・各スライドのメッセージ案はAIが数分で生成可能。データのグラフ化やQ&A案もドラフト生成は高速。ただしスライドデザインの微調整（色・レイアウト・フォント）、クライアント固有のトーン合わせ、最終的なプレゼン練習は人間が行う必要があり、1.5〜4時間のレビュー・仕上げ工程が残る。			
まとめ			
タスク	人間（中央値）	AI活用時（中央値）	削減率
①要約	4時間	30分	約87%
②指示書作成	8時間	2時間	約75%
③プレゼン資料	10時間	3時間	約70%
合計	22時間	5.5時間	約75%

---
			
# Haiku			
model: haiku45

##タスク番号1：記事の要約（情報収集・インプット整理）			
人間所要時間：4～6時間（中央値：5時間）			
人間理由：			
業界ニュース、調査レポート、政府統計などの多様な情報源から、クライアント関連情報を抽出する必要がある			
100～300ページの大量資料の精読と理解に時間を要する			
市場データのグラフ化には、データ解釈と可視化ツール操作が必要			
「結論→根拠→示唆」の論理構造に情報を再構成する思考プロセスに時間がかかる			
複数の情報を統合し、経営層が5分で理解できるレベルに圧縮する工夫が必要			
専門知識に基づく情報の取捨選択と優先順位付けには経験と判断が必須			
AI所要時間：15～20分（中央値：18分）			
AI理由：			
大量テキストの高速読み込みと要点抽出が得意（トークン処理能力）			
複数ソースの情報統合と構造化が迅速に実行可能			
論理的構造化（MECE、ピラミッド構造）の自動適用が可能			
データの分類・整理・グラフ化の指示が数分で完了			
ただし、クライアントの具体的なビジネスコンテキストの深い理解には限界がある			
最終的な品質確認と業界特有の解釈調整は人間による検証が必要			

##タスク番号2：指示書の作成（プロジェクト推進のための設計・指示）			
人間所要時間：6～10時間（中央値：8時間）			
人間理由：			
クライアント課題のヒアリングと整理に時間を要する（複数回のディスカッション必要）			
As-Is業務フロー図の作成には、現場の詳細なプロセス理解が必要			
To-Be状態の定義には、ビジネス戦略と実行可能性の判断が欠かせない			
要件定義書は機能要件・非機能要件など多面的な要素を含み、抜け漏れのない記述に経験が必要			
WBS、RACI表の作成には、プロジェクト全体像の把握と関係者調整が必須			
複数のステークホルダーの視点を踏まえた手順書作成に時間がかかる			
図解・表の作成ツール操作と調整に時間を要する			
AI所要時間：30～45分（中央値：38分）			
AI理由：			
標準的なコンサルティング・フレームワーク（As-Is/To-Be、WBS、RACI）の自動生成が可能			
ユーザーが与えたインプット情報を構造化して、初期版の要件定義書を高速作成			
テンプレートベースの手順書生成が迅速			
ただし、クライアント固有のビジネスプロセスや組織特性の深い理解が不足			
現場との調整や詳細な検証が必要であり、最終化には人間による複数回の修正が必須			
ステークホルダーとの合意形成は人間が主導する必要がある			

##タスク番号3：プレゼン資料作成（クライアント向け報告・提案）			
人間所要時間：5～8時間（中央値：6.5時間）			
人間理由：			
ストーリーライン構築に時間を要する（論理的な流れの設計と検証）			
スライド1枚1メッセージの原則に従う設計には、情報の優先順位付けと取捨選択が必要			
データのグラフ化と「So What」の明記には、分析的思考と視覚化スキルが欠かせない			
改善案・効果試算の落とし込みには、定量的な根拠の検証が必須			
クライアント業界・組織文化に合わせた表現調整に時間を要する			
想定質問と回答案作成には、プレゼン対象者の思考や懸念点の予測が必要			
プレゼン練習（話し順、強調ポイント、タイミング）に時間を費やす			
AI所要時間：25～35分（中央値：30分）			
AI理由：			
ストーリーライン案の高速生成が可能（フレームワーク活用）			
スライド構成案とテキスト原案の迅速な作成が得意			
データの視覚化指示（グラフ種別、軸設定）の効率的な提案が可能			
標準的なQ&A例の自動生成が迅速			
ただし、クライアント特有の業界知識や組織文化への深い理解が限定的			
説得力のあるストーリーラインの最終調整には人間の判断が必要			
デザイン・色使い・最終的なトーン調整は人間によるレビューと修正が不可欠			
実際のプレゼン練習と即時フィードバックは人間が主導			
まとめ			
タスク	人間所要時間	AI所要時間	短縮率
1. 記事の要約	5時間	18分	94%
2. 指示書の作成	8時間	38分	92%
3. プレゼン資料作成	6.5時間	30分	92%
合計	19.5時間	1時間26分	93%
