# Sonnet4.6
model: sonnet46			
職業名：企画・マーケティング職			

##タスク番号1：記事の要約（情報収集・インプット整理）			
業界ニュース・SNSトレンド・顧客アンケート・競合調査などを読み込み、「結論→根拠→インサイト」の構造で企画会議に使える要点資料に再構成する作業。			
人間所要時間：3.5時間（範囲：2.5〜5時間） 人間理由：経営コンサルと類似しているが、SNSトレンドや顧客アンケートなど情報ソースが多様で収集自体にも時間がかかる。一方で資料のページ数は100〜200ページと比較的少なめなため、コンサルよりやや短めに設定。企画の方向性に直結するインサイトの言語化には主観的判断を要する。			
AI所要時間：25分（範囲：15〜35分） AI理由：テキスト要約・競合比較・構造化はAIが高速処理できる。SNSトレンドの収集はWebブラウジング機能付きAIで対応可能。「自社企画との接続」部分のみ人間がレビューすれば足りるため、経営コンサルとほぼ同等の削減率を想定。削減率：約88%			

##タスク番号2：指示書の作成（企画推進のための設計・指示）			
企画概要書・カスタマージャーニー・KPI設定・クリエイティブ指示書・WBS・RACIなど、施策を動かすための文書一式を作成する作業。			
人間所要時間：10時間（範囲：7〜14時間） 人間理由：コンサルの指示書作成と比べ、カスタマージャーニーやクリエイティブ指示書（トンマナ・メッセージ定義）など、感性や顧客理解が問われる文書が含まれる。一方でシステム要件定義のような技術的複雑さは低いため、合計工数はやや少なめに設定。			
AI所要時間：1.5時間（範囲：1〜2.5時間） AI理由：企画概要書・WBS・RACIのドラフト生成はAIが得意。カスタマージャーニーもペルソナ情報を与えれば骨格を自動生成できる。クリエイティブ指示書のトンマナ定義は人間の最終判断が必要だが、叩き台生成は十分対応可能。削減率：約85%			

##タスク番号3：プレゼン資料作成（社内外向け企画提案・報告）			
ストーリーライン構築・スライド作成・データグラフ化・予算・期待効果の整理・Q&A作成・リハーサルまでを含む企画提案資料の一連の制作作業。			
